"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ubb",3.38002632508633e-09,5.31954900203463,0.997,0.993,8.49366815230943e-05
"Grn",3.54598630475155e-09,14.8180111659347,0.043,0.11,8.91070898521018e-05
"Hes6",3.56365887305813e-09,-2.23184649952172,0.046,0.114,8.95511838210778e-05
"Scand1",3.87397524210882e-09,0.886471017922973,0.259,0.41,9.73491238589526e-05
"Dync1li2",4.23221182571992e-09,-0.994323833753478,0.042,0.108,0.000106351250968516
"Psma5",4.77489784967813e-09,-2.08534771892137,0.155,0.271,0.000119988408064562
"Glul",5.00545760335255e-09,-0.593011470261807,0.039,0.103,0.000125782144114646
"Cdkn1b",5.2167162847273e-09,-1.66421553831826,0.193,0.318,0.000131090863518912
"Chd1",5.41298533865772e-09,0.521586928621479,0.139,0.253,0.00013602290857513
"Swi5",5.69832823985155e-09,0.881665582827782,0.21,0.354,0.00014319329033923
"Csnk2a2",5.8633957613316e-09,-0.880597629069829,0.049,0.119,0.000147341272086502
"Ppig",5.94584615716824e-09,0.908131752656944,0.263,0.43,0.000149413168083481
"Supt4a",6.24373076266585e-09,-0.573701705588568,0.257,0.395,0.00015689871033503
"Cox4i1",6.43282462967891e-09,8.34170517673246,0.993,0.984,0.000161650450119201
"4833420G17Rik",6.8021144834732e-09,-0.856012669126118,0.08,0.168,0.000170930334855198
"Tle5",8.04966988382705e-09,1.52561992358961,0.301,0.482,0.00020228015451069
"Slfn2",8.76504511050894e-09,-0.943381199103774,0.238,0.359,0.000220256818581979
"Pfdn6",8.80595293573669e-09,-1.2431615334167,0.105,0.202,0.000221284791322127
"Ddt",9.31788705734667e-09,-0.817673871065075,0.083,0.168,0.000234149183864064
"Spag9",9.5728635951865e-09,6.88141266524266,0.206,0.336,0.000240556489283442
"Fosb",1.00659458901286e-08,-15.2193957532769,0.317,0.464,0.000252947154273041
"Cacybp",1.01769864250597e-08,-0.613054572543106,0.132,0.24,0.000255737491875326
"Marcks",1.1247444819618e-08,-1.0151982386461,0.135,0.24,0.00028263704087218
"Ankrd11",1.17544945414999e-08,-2.54163376020832,0.452,0.655,0.000295378693333351
"Gm31243",1.39481759744485e-08,2.00709973416608,0.373,0.249,0.000350503714061917
"Rmnd5a",1.41913269973986e-08,-0.805842016849446,0.048,0.114,0.000356613856117629
"Sfpq",1.43109634825796e-08,-4.80129243818885,0.508,0.7,0.000359620201353743
"Zfp646",1.52570936205816e-08,-1.09480972060464,0.096,0.188,0.000383395505591595
"Kcnq1ot1",1.58999397430395e-08,34.4171471143361,0.219,0.336,0.000399549585802838
"Cd37",1.59036754249801e-08,-4.96940700653502,0.729,0.812,0.000399643459754326
"Prmt1",1.72833241420937e-08,-0.69493339508005,0.102,0.195,0.000434312652366673
"Med13",1.74634949820152e-08,1.32673529017696,0.162,0.274,0.000438840165403059
"Mrps25",1.81785361402932e-08,-1.07395603812271,0.048,0.114,0.000456808434669428
"Riok3",1.91557635397629e-08,-0.770872497178643,0.125,0.226,0.000481365181990701
"Ftx",2.09491624038065e-08,-0.53342860125665,0.049,0.117,0.000526431502045253
"Ube2b",2.11800681834428e-08,0.847258551393805,0.393,0.576,0.000532233933381735
"Gm26740",2.3923642101382e-08,-1.6010041002596,0.216,0.341,0.000601177202365628
"Pxdc1",2.43610812608848e-08,2.18475032763221,0.209,0.101,0.000612169611004775
"Ddx17",2.56812195060408e-08,-0.97424700927575,0.218,0.341,0.000645343364967299
"Higd2a",2.65712543402257e-08,-0.779811352220435,0.114,0.211,0.000667709050315532
"Txnip",2.696145758913e-08,-2.81832906640348,0.359,0.489,0.000677514467757248
"Obp1b",2.7224283013106e-08,11.5050423363167,0.26,0.417,0.000684119007836341
"Rcor1",2.81818034519391e-08,-1.4613273492704,0.064,0.137,0.000708180538943778
"Sart1",2.94072393418065e-08,-0.717752203514245,0.073,0.152,0.000738974517420255
"Uvrag",2.97562818319007e-08,-0.888628961367085,0.163,0.276,0.000747745606153834
"Atp2b1",3.45465115464572e-08,4.25801028756142,0.262,0.415,0.000868119288650924
"Chmp2b",3.47547080321987e-08,-1.00093879742752,0.051,0.119,0.000873351058141121
"Arpc5l",3.88456285074865e-08,-0.700634620875876,0.362,0.504,0.000976151798764629
"Pik3r1",3.95972152616556e-08,1.37132833911842,0.122,0.224,0.000995038422310143
"Atad2b",4.49306263931125e-08,-1.01732481230802,0.144,0.253,0.00112906171063252
"Rab24",4.68923672265254e-08,-0.905100382822982,0.062,0.135,0.00117835829603536
"Ano6",4.87230265262909e-08,-1.37312800191353,0.048,0.112,0.00122436093357916
"Snf8",4.93662827878072e-08,-0.5002963069494,0.113,0.209,0.00124052532017481
"Hnrnpu",5.33370210842557e-08,1.7599823933378,0.94,0.913,0.00134030600282626
"Morc3",5.78120125608772e-08,-0.968950213730143,0.122,0.217,0.00145275806364228
"Ahcyl1",5.98565724122659e-08,-0.779144471645762,0.062,0.135,0.00150413580814783
"Cep250",6.19393181760542e-08,-0.810839247065886,0.063,0.135,0.00155647312644607
"Atp6v1d",6.41507372202536e-08,0.509762171385515,0.104,0.197,0.00161204387560775
